Código;Matrícula;Fecha Matriculación;Marca;Modelo;Tipo;Variante;Clasificación medioambiental;Combustible;Cilindrada;Potencia;Número de Plazas;Fecha inicio de prestación del servicio de taxi;Eurotaxi;Régimen Especial;Fecha extracción dato
1640503;1010LMK;28/01/2021; SEAT;LEON SPORTSTOURER;5F ; FDHFAX0V ;ECO;M: GNC;0;11.19;;18/06/2021;NO;No;;;18/06/2024
1346411;7935HYP;29/07/2014;CITROEN;C4 PICASSO;3;3DAHX*;C;M: Diesel;1997;110;5;16/09/2014;NO;No;;;18/06/2024
1382184;0749JFT;28/05/2015;CITROEN;C4 PICASSO;3;3DAHX*;C;M: Diesel;1997;110;5;28/05/2015;NO;No;;;18/06/2024
1399713;4630JLB;04/01/2016;CITROEN;JUMPY;X;XDAHZ*;B;M: Diesel;1997;94;7;11/01/2016;SI;Si;;;18/06/2024
1396547;7246JJX;05/11/2015;CITROEN;JUMPY;X;XDAHZ*;B;M: Diesel;1997;94;7;27/11/2015;SI;Si;;;18/06/2024
1397111;2669JKC;17/11/2015;CITROEN;JUMPY;X;XDAHZ*;B;M: Diesel;1997;94;7;03/12/2015;SI;Si;;;18/06/2024
1400351;9995JLB;05/01/2016;CITROEN;JUMPY;X;XDAHZ*;B;M: Diesel;1997;94;7;19/01/2016;SI;Si;;;18/06/2024
1391858;6161JHY;16/09/2015;CITROEN;JUMPY;X;XDAHZ*;B;M: Diesel;1997;94;7;07/10/2015;SI;Si;;;18/06/2024
1422234;9939JMF;02/03/2016;CITROEN;JUMPY;X;XDAHZ*;B;M: Diesel;1997;94;7;29/03/2016;SI;Si;;;18/06/2024
1420832;0627JLN;29/01/2016;CITROEN;JUMPY;X;XDAHZ*;B;M: Diesel;1997;94;7;09/03/2016;SI;Si;;;18/06/2024
1396856;1138JJZ;10/11/2015;CITROEN;JUMPY;X;XDAHZ*;B;M: Diesel;1997;94;7;01/12/2015;SI;Si;;;18/06/2024
1399151;8507JKK;30/11/2015;CITROEN;JUMPY;X;XDAHZ*;B;M: Diesel;1997;94;7;30/12/2015;SI;Si;;;18/06/2024
1420616;5250JLG;19/01/2016;CITROEN;JUMPY;X;XDAHZ*;B;M: Diesel;1997;94;7;07/03/2016;SI;Si;;;18/06/2024
1417306;6299JLG;19/01/2016;CITROEN;JUMPY;X;XDAHZ*;B;M: Diesel;1997;94;7;01/02/2016;SI;Si;;;18/06/2024
1386843;6076JHC;24/07/2015;CITROEN;JUMPY;X;XDAHZ*;B;M: Diesel;1997;94;7;27/07/2015;SI;Si;;;18/06/2024
1396054;3143JJR;23/10/2015;CITROEN;JUMPY;X;XDAHZ*;B;M: Diesel;1997;94;7;23/11/2015;SI;Si;;;18/06/2024
1428146;7459JMY;04/04/2016;CITROEN;JUMPY;X;XDAHZ*;B;M: Diesel;1997;94;7;25/05/2016;SI;Si;;;18/06/2024
1422250;6944JMF;01/03/2016;CITROEN;JUMPY;X;XDAHZ*;B;M: Diesel;1997;94;7;29/03/2016;SI;Si;;;18/06/2024
1387451;3639JGS;03/08/2015;CITROEN;JUMPY;X;XDAHZ*;B;M: Diesel;1997;94;7;06/08/2015;SI;Si;;;18/06/2024
1390045;7719JGY;17/07/2015;CITROEN;JUMPY;X;XDAHZ*;B;M: Diesel;1997;94;7;14/09/2015;SI;Si;;;18/06/2024
1418794;8335JLK;27/01/2016;CITROEN;JUMPY;X;XDAHZ*;B;M: Diesel;1997;94;7;16/02/2016;SI;Si;;;18/06/2024
1391754;3645JHW;08/09/2015;CITROEN;JUMPY;X;XDAHZ*;B;M: Diesel;1997;94;7;06/10/2015;SI;Si;;;18/06/2024
1396993;2689JKL;01/12/2015;CITROEN;C-ELYSEE;FE-CO1/1;FE14C;ECO;B: Gasolina/GLP;1587;85;5;02/12/2015;NO;No;;;18/06/2024
1390805;0821JJB;22/09/2015;CITROEN;C-ELYSEE;FE-CO1/1;FE14C;ECO;B: Gasolina/GLP;1587;85;5;24/09/2015;NO;No;;;18/06/2024
1377935;2570JDT;09/04/2015;CITROEN;C-ELYSEE;FE-CO1/1;FE14C;ECO;B: Gasolina/GLP;1587;85;5;13/04/2015;NO;No;;;18/06/2024
1379612;7066JFC;29/04/2015;CITROEN;C-ELYSEE;FE-CO1/1;FE14C;ECO;B: Gasolina/GLP;1587;85;5;30/04/2015;NO;No;;;18/06/2024
1382054;5774JFR;26/05/2015;CITROEN;C-ELYSEE;FE-CO1/1;FE14C;ECO;B: Gasolina/GLP;1587;85;5;27/05/2015;NO;No;;;18/06/2024
